@relation practiceData

@attribute RID REAL
@attribute Age	{Youth,Middle-age,Senior}
@attribute Income {High,Medium,Low}
@attribute Student {Yes,No}
@attribute Credit_Rating {Fair,Excellent}
@attribute Class {Yes,No}

@data
1,Youth,High,No,Fair,No
2,Youth,High,No,Excellent,No
3,Middle-age,High,No,Fair,Yes
4,Senior,Medium,No,Fair,Yes
5,Senior,Low,Yes,Fair,Yes
6,Senior,Low,Yes,Excellent,No
7,Middle-age,Low,Yes,Excellent,Yes
8,Youth,Medium,No,Fair,No
9,Youth,Low,Yes,Fair,Yes
10,Senior,Medium,Yes,Fair,Yes
11,Youth,Medium,Yes,Excellent,Yes
12,Middle-age,Medium,No,Excellent,Yes
13,Middle-age,High,Yes,Fair,Yes
14,Senior,Medium,No,Excellent,No

